time,value
2000-01-15,0.20999849347110475
2000-02-15,0.1993858352627743
2000-03-15,0.19053947816364541
2000-04-15,0.18294981375329272
2000-05-15,0.17300677458344776
2000-06-15,0.1613532435558565
2000-07-15,0.1526610164933838
2000-08-15,0.155053971023222
2000-09-15,0.16364353985544672
2000-10-15,0.1721504628643641
2000-11-15,0.1780583641002863
2000-12-15,0.17980278813587977
2001-01-15,0.17917548719236218
2001-02-15,0.18335324936388014
2001-03-15,0.19085880946122596
2001-04-15,0.20242317441656138
2001-05-15,0.214514662192049
2001-06-15,0.22502474261938837
2001-07-15,0.22923849361714915
2001-08-15,0.22115880671244964
2001-09-15,0.20578333597087278
2001-10-15,0.19397436033551174
2001-11-15,0.18532921297701876
2001-12-15,0.18445235280441427
2002-01-15,0.18791621456561747
2002-02-15,0.18799605583434056
2002-03-15,0.18450870788716062
2002-04-15,0.1833589775043724
2002-05-15,0.1857872268770565
2002-06-15,0.18686577254747894
2002-07-15,0.18661976682850268
2002-08-15,0.1837912162237741
2002-09-15,0.17364822704011185
2002-10-15,0.16026874999857874
2002-11-15,0.14709755669029168
2002-12-15,0.13484025477036235
2003-01-15,0.12653005783054794
2003-02-15,0.1270461663565547
2003-03-15,0.13985181248520845
2003-04-15,0.15890257505867317
2003-05-15,0.17583525869030608
2003-06-15,0.1853556833386809
2003-07-15,0.18318101822445532
2003-08-15,0.1620633302574004
2003-09-15,0.1414191208227259
2003-10-15,0.12705188790175803
2003-11-15,0.11763208186931931
2003-12-15,0.11370411471944118
2004-01-15,0.11506787179421427
2004-02-15,0.11864390412234395
2004-03-15,0.11637920851983286
2004-04-15,0.11210855071141043
2004-05-15,0.11097969586146261
2004-06-15,0.11872773844544458
2004-07-15,0.13665498826683542
2004-08-15,0.16113595819626975
2004-09-15,0.18134590464632955
2004-10-15,0.17442639124778686
2004-11-15,0.15720941281668938
2004-12-15,0.13977368360428605
2005-01-15,0.1240699051667219
2005-02-15,0.10954981624403584
2005-03-15,0.09582085809380013
2005-04-15,0.07917632260296316
2005-05-15,0.0629821774043326
2005-06-15,0.046528945234047686
2005-07-15,0.03313767105381653
2005-08-15,0.03082784401486767
2005-09-15,0.03564888297217343
2005-10-15,0.0478261395322155
2005-11-15,0.06405953263002821
2005-12-15,0.07424554367909089
2006-01-15,0.07896932669737158
2006-02-15,0.08201604013172314
2006-03-15,0.08448410508036844
2006-04-15,0.08538563424240782
2006-05-15,0.08850908460643442
2006-06-15,0.09305304163680003
2006-07-15,0.09285158251179469
2006-08-15,0.0871744322570562
2006-09-15,0.07709538660919123
2006-10-15,0.06975021852510543
2006-11-15,0.06801940725388855
2006-12-15,0.07188749402440744
2007-01-15,0.07347767719053466
2007-02-15,0.06898184917771119
2007-03-15,0.05995533281142429
2007-04-15,0.05229942573600703
2007-05-15,0.04812374077798163
2007-06-15,0.04587497038664408
2007-07-15,0.04177200824089512
2007-08-15,0.03894033083593481
2007-09-15,0.03760304713197287
2007-10-15,0.03839661580502679
2007-11-15,0.03887937383335829
2007-12-15,0.04158790887988201
2008-01-15,0.04432768671461833
2008-02-15,0.04538115624342669
2008-03-15,0.04754663679701211
2008-04-15,0.0506819004963035
2008-05-15,0.05294665436310266
2008-06-15,0.055446132001685335
2008-07-15,0.05711532034754453
2008-08-15,0.05471013342861436
2008-09-15,0.04706828829326211
2008-10-15,0.03927066070090213
2008-11-15,0.03149479407523659
2008-12-15,0.022621227796589163
2009-01-15,0.018266621903415752
2009-02-15,0.0158536394210732
2009-03-15,0.01587364994144397
2009-04-15,0.017117787378368318
2009-05-15,0.016801452738602764
2009-06-15,0.01332993853182704
2009-07-15,0.009476929859652903
2009-08-15,0.009154298271339123
2009-09-15,0.01690163719633381
2009-10-15,0.025274672242183802
2009-11-15,0.022592590204566942
2009-12-15,0.007836305411365239
2010-01-15,-0.007938534186428196
2010-02-15,-0.01880717585326704
2010-03-15,-0.020849858275768608
2010-04-15,-0.020029223953528255
2010-05-15,-0.022795687418879267
2010-06-15,-0.02627240589590105
2010-07-15,-0.02884953677496272
2010-08-15,-0.03129450777702031
2010-09-15,-0.031174727724495418
2010-10-15,-0.02396234650288338
2010-11-15,-0.010553963611339362
2010-12-15,0.0073834255917194945
2011-01-15,0.02367647690613858
2011-02-15,0.0312281268229187
2011-03-15,0.022070142531120114
2011-04-15,0.006396444702043832
2011-05-15,-0.011108467933704947
2011-06-15,-0.02235283584251581
2011-07-15,-0.020558523877955853
2011-08-15,-0.010093295279887064
2011-09-15,-0.001002897494893884
2011-10-15,0.0015769524654266672
2011-11-15,-0.0017147577127083428
2011-12-15,-0.011321456663442305
2012-01-15,-0.02517703819570427
2012-02-15,-0.03812666454705648
2012-03-15,-0.04576743856285932
2012-04-15,-0.0457524560478389
2012-05-15,-0.038132576478722285
2012-06-15,-0.02680423667963535
2012-07-15,-0.016766522703202606
2012-08-15,-0.013521318015135848
2012-09-15,-0.015078964743999267
2012-10-15,-0.01946739406888539
2012-11-15,-0.025039247276599355
2012-12-15,-0.03241643037893559
2013-01-15,-0.040939377333144414
2013-02-15,-0.052040543815681295
2013-03-15,-0.059594718464274804
2013-04-15,-0.0667875666201824
2013-05-15,-0.07679781177233506
2013-06-15,-0.08507728976109523
2013-07-15,-0.08923186460962326
2013-08-15,-0.08958858457676425
2013-09-15,-0.08637279286156457
2013-10-15,-0.08718641107422045
2013-11-15,-0.09018014983180271
2013-12-15,-0.09329885942757711
2014-01-15,-0.09148114412987873
2014-02-15,-0.08564809712621542
2014-03-15,-0.08040382880036911
2014-04-15,-0.0741772476011526
2014-05-15,-0.06409346960809124
2014-06-15,-0.05740463567075052
2014-07-15,-0.051086456211618836
2014-08-15,-0.044381651460247626
2014-09-15,-0.036964586046894884
2014-10-15,-0.03375961391085951
2014-11-15,-0.0315032487768578
2014-12-15,-0.03324974367756738
2015-01-15,-0.039123661551811836
2015-02-15,-0.04677781239626674
2015-03-15,-0.05719399187995315
2015-04-15,-0.06562136562494275
2015-05-15,-0.06998465739529271
2015-06-15,-0.06665888795340913
2015-07-15,-0.060090548594591744
2015-08-15,-0.057215575618398753
2015-09-15,-0.05945494075014885
2015-10-15,-0.06766135747330912
2015-11-15,-0.07864165206764834
2015-12-15,-0.09280406909338429
2016-01-15,-0.10890708277627749
2016-02-15,-0.12177389095224717
2016-03-15,-0.1283810418593701
2016-04-15,-0.12560159677348517
2016-05-15,-0.12090221630866468
2016-06-15,-0.11746587215003973
2016-07-15,-0.11274040637310881
2016-08-15,-0.10598790675088075
2016-09-15,-0.09910918486880908
2016-10-15,-0.09468152745991372
2016-11-15,-0.09328726970331927
2016-12-15,-0.09241540666115529
2017-01-15,-0.09140432864789164
2017-02-15,-0.08930467976618334
2017-03-15,-0.0845571907109316
2017-04-15,-0.07454543602587327
2017-05-15,-0.05912341099359208
2017-06-15,-0.042394197605061607
2017-07-15,-0.03254865622940415
2017-08-15,-0.03709552613644336
2017-09-15,-0.05546719635452115
2017-10-15,-0.07410081614278101
2017-11-15,-0.08590962970798749
2017-12-15,-0.09052142234515358
2018-01-15,-0.09318225181520864
2018-02-15,-0.09564378594700562
2018-03-15,-0.09668168629707279
2018-04-15,-0.09891180371993619
2018-05-15,-0.10458079188389975
2018-06-15,-0.11087634428912811
2018-07-15,-0.11608613719731693
2018-08-15,-0.1142815783126081
2018-09-15,-0.11253451294028324
2018-10-15,-0.11223238388948512
2018-11-15,-0.11557470714205237
2018-12-15,-0.11758987861403622
2019-01-15,-0.11530308326418154
2019-02-15,-0.1062171056297864
2019-03-15,-0.0897875759384933
2019-04-15,-0.07829223709441052
2019-05-15,-0.07357121514641415
2019-06-15,-0.07658305273633018
2019-07-15,-0.08932921761608177
2019-08-15,-0.10531158041705511
2019-09-15,-0.11718500395440878
2019-10-15,-0.12595952073690347
2019-11-15,-0.13222055945689304
2019-12-15,-0.1356870130554299
2020-01-15,-0.1344237169386902
2020-02-15,-0.13798480195397428
2020-03-15,-0.15154341381556308
2020-04-15,-0.1745354711562565
2020-05-15,-0.20289257081882187
2020-06-15,-0.22802407863603652
2020-07-15,-0.2442009861190388
2020-08-15,-0.24452167507678585
2020-09-15,-0.22778113814200257
2020-10-15,-0.19807172458468592
2020-11-15,-0.16632308948496005
2020-12-15,-0.1407244926373257
2021-01-15,-0.1288420776161781
2021-02-15,-0.12934189482648695
2021-03-15,-0.13722369546220986
2021-04-15,-0.14776142203052905
2021-05-15,-0.15746432713592678
2021-06-15,-0.16471041087293564
2021-07-15,-0.16657742520491806
2021-08-15,-0.1655673043184942
2021-09-15,-0.16625044809634834
2021-10-15,-0.16432749351505613
2021-11-15,-0.15422809774333562
2021-12-15,-0.13870014202796088
2022-01-15,-0.11536854269709836
2022-02-15,-0.0878212861531095
2022-03-15,-0.06354853543093597
2022-04-15,-0.04777052596990461
2022-05-15,-0.04095874210300855
2022-06-15,-0.0439407150931973
2022-07-15,-0.05699637803749945
2022-08-15,-0.0768668454086398
2022-09-15,-0.09034962646962848
2022-10-15,-0.0950753194286732
2022-11-15,-0.09484884967610654
2022-12-15,-0.09328107547042007
2023-01-15,-0.09675120347600051
2023-02-15,-0.1039026958000111
2023-03-15,-0.11386754660264674
2023-04-15,-0.12023443881612164
2023-05-15,-0.12772694963633274
